0.010	70
0.880	39
0.930	79
1.500	55
1.500	63
1.500	75
1.500	82
2.020	58
2.020	67
2.020	79
2.620	51
3.120	56
3.150	62
3.160	77
3.700	59
3.750	79
4.310	39
4.860	55
4.860	63
5.350	79
5.360	58
5.360	63
5.950	38
5.950	39
5.950	75
6.570	51
6.570	55
6.570	63
6.570	79
6.570	82
7.150	63
7.180	55
7.190	58
7.190	70
7.860	36
7.910	79
8.420	55
8.420	64
8.650	72
8.780	73
8.840	58
8.840	79
8.880	72
9.010	71
9.160	71
9.160	72
9.380	60
9.390	48
9.460	84
9.840	55
9.870	64
10.430	58
10.430	64
10.430	70
10.430	79
11.070	41
11.070	81
11.070	83
11.080	40
11.600	53
11.600	61
12.080	58
12.080	61
12.080	64
12.660	80
13.180	53
13.180	60
13.180	65
13.770	56
13.770	60
13.770	65
13.770	79
14.370	77
14.860	62
15.360	58
15.360	68
15.880	47
15.880	79
15.880	91
16.410	55
16.410	65
16.950	65
16.960	62
16.970	74
17.490	48
17.490	75
18.040	36
18.040	55
18.040	63
18.050	48
18.600	36
18.600	60
18.600	63
18.600	67
18.600	72
18.600	75
18.600	79
19.210	84
19.220	45
19.220	72
19.800	42
19.810	54
19.810	63
20.430	60
20.430	66
20.440	63
21.160	34
21.160	46
21.160	58
21.160	70
21.760	34
21.760	46
21.760	63
21.760	86
22.310	68
22.310	84
22.320	58
22.320	63
22.330	46
23.000	83
23.010	82
23.450	80
23.660	62
23.660	65
23.690	79
23.880	80
24.140	58
24.140	72
24.440	74
24.770	39
24.790	51
24.810	75
25.370	55
25.400	63
25.890	51
25.890	63
25.900	58
26.370	51
26.900	55
26.900	63
26.900	79
